,anime_name,anime_genre,character_name,character_mbti_type,Characters Kept,Apple TV,Youtube,Rating (IMDb),Message
0,Naruto Shippuden,Shounen,Sasuke Uchiha,ISFP,x,,,8.7,Change all anime names to english
1,Naruto Shippuden,Shounen,Naruto Uzumaki,ENFP,x,,,8.7,
2,Naruto Shippuden,Shounen,Madara Uchiha,ENTJ,x,,,8.7,
3,Naruto Shippuden,Shounen,Itachi Uchiha,INFJ,x,,,8.7,
4,Naruto Shippuden,Shounen,Sakura Haruno,ESFJ,x,,,8.7,
5,Naruto Shippuden,Shounen,Obito Uchiha,ENFP,x,,,8.7,
6,Naruto Shippuden,Shounen,Kakashi Hatake,INTP,x,,,8.7,
7,Naruto Shippuden,Shounen,Shikamaru Nara,INTP,x,,,8.7,
8,Naruto Shippuden,Shounen,Rock Lee,ESFJ,x,,,8.7,
9,Naruto Shippuden,Shounen,Nagato,INFP,,,,8.7,
10,Naruto Shippuden,Shounen,Hinata Hyuga,ISFJ,x,,,8.7,
11,Naruto Shippuden,Shounen,Konan,INFJ,,,,8.7,
12,Naruto Shippuden,Shounen,Orochimaru,ENTP,,,,8.7,
13,Naruto Shippuden,Shounen,Temari,ESTJ,,,,8.7,
14,Naruto Shippuden,Shounen,Gaara,INFP,,,,8.7,
15,Naruto Shippuden,Shounen,Sasori,INTJ,,,,8.7,
16,Naruto Shippuden,Shounen,Kimimaro Kaguya,ISFJ,x,,,8.7,
17,Naruto Shippuden,Shounen,Minato Namikaze,ENFJ,x,,,8.7,
18,Naruto Shippuden,Shounen,Neji Hyūga,ISTJ,x,,,8.7,
19,Naruto Shippuden,Shounen,Hashirama Senju,ENFJ,,,,8.7,
20,Naruto Shippuden,Shounen,Tobirama Senju,ISTJ,x,,,8.7,
21,Naruto Shippuden,Shounen,Kabuto Yakushi,INTP,,,,8.7,
22,Naruto Shippuden,Shounen,Deidara,ESFP,x,,,8.7,
24,Naruto Shippuden,Shounen,Sai Yamanaka,INTP,,,,8.7,
25,Naruto Shippuden,Shounen,Ino Yamanaka,ESFP,x,,,8.7,
28,Naruto Shippuden,Shounen,Tsunade Senju,ESTP,x,,,8.7,
30,Naruto Shippuden,Shounen,Hiruzen Sarutobi,ENFJ,,,,8.7,
31,Naruto Shippuden,Shounen,Jiraiya,ENFP,,,,8.7,
32,Naruto Shippuden,Shounen,Yahiko,ENFJ,,,,8.7,
33,Naruto Shippuden,Shounen,Hidan,ESTP,x,,,8.7,
34,Naruto Shippuden,Shounen,Danzō Shimura,ESTJ,,,,8.7,
35,Naruto Shippuden,Shounen,Kisame Hoshigaki,ESTP,,,,8.7,
36,Naruto Shippuden,Shounen,Might Guy,ESFP,x,,,8.7,
37,Naruto Shippuden,Shounen,Kushina Uzumaki,ESFP,,,,8.7,
38,Naruto Shippuden,Shounen,Killer Bee,ESFP,,,,8.7,
41,Naruto Shippuden,Shounen,Juubi,ESTP,,,,8.7,
42,Naruto Shippuden,Shounen,Samehada,ENTP,,,,8.7,
43,Naruto Shippuden,Shounen,Tenten,ENFJ,,,,8.7,
44,Naruto Shippuden,Shounen,Tobi,ENTP,,,,8.7,
45,Naruto Shippuden,Shounen,Shisui Uchiha,ENFJ,x,,,8.7,
46,Naruto Shippuden,Shounen,Indra Ōtsutsuki,INTJ,,,,8.7,
48,Naruto Shippuden,Shounen,Zabuza Momochi,ISTP,x,,,8.7,
51,Naruto Shippuden,Shounen,Suigetsu Hōzuki,ESTP,,,,8.7,
52,Naruto Shippuden,Shounen,Uchiha Clan,INTJ,,,,8.7,
53,Naruto Shippuden,Shounen,Anko Mitarashi,ESTP,,,,8.7,
54,Naruto Shippuden,Shounen,Kinkaku,INTP,,,,8.7,
55,Naruto Shippuden,Shounen,Chōji Akimichi,ISFP,x,,,8.7,
56,Naruto Shippuden,Shounen,Kurama,ENTJ,,,,8.7,
58,Naruto Shippuden,Shounen,Sakumo Hatake,INFP,x,,,8.7,
60,Naruto Shippuden,Shounen,Hagoromo Ōtsutsuki,INFJ,,,,8.7,
62,Naruto Shippuden,Shounen,Chidori,INTJ,,,,8.7,
64,Naruto Shippuden,Shounen,Chiyo,ENFJ,,,,8.7,
65,Naruto Shippuden,Shounen,Hanare,INFJ,,,,8.7,
67,Naruto Shippuden,Shounen,Mu,INTP,,,,8.7,
66,Naruto Shippuden,Shounen,Akatsuki,INTJ,,,,8.7,
69,Naruto Shippuden,Shounen,Yurika,ENTP,,,,8.7,
70,Naruto Shippuden,Shounen,Suien,ENTP,,,,8.7,
71,Naruto Shippuden,Shounen,Reto,ENTJ,,,,8.7,
73,Naruto Shippuden,Shounen,Hanzo of the salamander,ENFJ,,,,8.7,
74,Naruto Shippuden,Shounen,Yugito,ENTP,,,,8.7,
75,Naruto Shippuden,Shounen,Karin Uzumaki,ESTJ,,,,8.7,
77,Naruto Shippuden,Shounen,Black Zetsu,INTJ,,,,8.7,
79,Naruto Shippuden,Shounen,Konohamaru Sarutobi,ESFP,,,,8.7,
81,Naruto Shippuden,Shounen,A (The Fourth Raikage),ESTJ,,,,8.7,
82,Naruto Shippuden,Shounen,Kin Tsuchi,ESTP,,,,8.7,
83,Naruto Shippuden,Shounen,Kankurō,ESTP,,,,8.7,
84,Naruto Shippuden,Shounen,Teuchi,ESFJ,,,,8.7,
86,Naruto Shippuden,Shounen,Gengetsu Hozuki,ENTP,,,,8.7,
87,Naruto Shippuden,Shounen,Yagura Karatachi,INFJ,,,,8.7,
89,Naruto Shippuden,Shounen,Hayate Gekkō,INTP,,,,8.7,
90,Naruto Shippuden,Shounen,Ashura Ōtsutsuki,ENFJ,,,,8.7,
91,Naruto Shippuden,Shounen,Baki,ESTJ,,,,8.7,
93,Naruto Shippuden,Shounen,Onoki,ESTJ,,,,8.7,
95,Naruto Shippuden,Shounen,Yukimaru,INFP,,,,8.7,
97,Naruto Shippuden,Shounen,Might Guy (Road to Ninja),ENFJ,,,,8.7,
103,Naruto Shippuden,Shounen,Village Hidden in the Rain (Amegakure),INTJ,,,,8.7,
107,Naruto Shippuden,Shounen,Ebizō,ESTP,,,,8.7,
109,Naruto Shippuden,Shounen,Bunpuku,INFJ,,,,8.7,
112,Naruto Shippuden,Shounen,Gamatatsu,ENFP,,,,8.7,
113,Naruto Shippuden,Shounen,Gengo,ENFJ,,,,8.7,
116,Naruto Shippuden,Shounen,Akio,ESFP,,,,8.7,
120,Naruto Shippuden,Shounen,Senju Clan,ENFJ,,,,8.7,
121,Naruto Shippuden,Shounen,Nara Clan,INTP,,,,8.7,
122,Naruto Shippuden,Shounen,Raiton,ENFP,,,,8.7,
123,Naruto Shippuden,Shounen,Suiton,ENTJ,,,,8.7,
126,Naruto Shippuden,Shounen,Raidō Namiashi,ENTP,,,,8.7,
128,Naruto Shippuden,Shounen,Third Kazekage,INTP,,,,8.7,
129,Naruto Shippuden,Shounen,Naruto Musasabi,INFJ,,,,8.7,
132,Naruto Shippuden,Shounen,Sasuke Uchiha (Road to Ninja),ESFP,,,,8.7,
300,My Hero Academia,Shounen,Dabi,ISFP,,,,8.2,
301,My Hero Academia,Shounen,Katsuki Bakugo,ENTJ,,,,8.2,
302,My Hero Academia,Shounen,Izuku Midoriya “Deku”,INFJ,,,,8.2,
303,My Hero Academia,Shounen,Shoto Todoroki,INTJ,,,,8.2,
304,My Hero Academia,Shounen,Himiko Toga,ENTP,,,,8.2,
305,My Hero Academia,Shounen,Ochako Uraraka “Uravity”,ESFJ,,,,8.2,
306,My Hero Academia,Shounen,Tomura Shigaraki,INTP,,,,8.2,
307,My Hero Academia,Shounen,"Enji Todoroki ""Endeavor""",ESTJ,,,,8.2,
308,My Hero Academia,Shounen,"Shouta Aizawa ""Eraser Head""",ISTP,,,,8.2,
309,My Hero Academia,Shounen,Tamaki Amajiki “Suneater”,INFP,,,,8.2,
310,My Hero Academia,Shounen,Denki Kaminari “Chargebolt”,ENTP,,,,8.2,
311,My Hero Academia,Shounen,Momo Yaoyorozu “Creati”,ISFJ,,,,8.2,
312,My Hero Academia,Shounen,Eijirou Kirishima “Red Riot”,ESFP,,,,8.2,
313,My Hero Academia,Shounen,Tsuyu Asui “Froppy”,INTP,,,,8.2,
314,My Hero Academia,Shounen,All For One,ENTJ,,,,8.2,
315,My Hero Academia,Shounen,"Toshinori Yagi ""All Might""",ENFJ,,,,8.2,
316,My Hero Academia,Shounen,Hitoshi Shinso,INTP,,,,8.2,
317,My Hero Academia,Shounen,"Kai Chisaki ""Overhaul""",INTJ,,,,8.2,
318,My Hero Academia,Shounen,Tenya Iida “Ingenium”,ESTJ,,,,8.2,
319,My Hero Academia,Shounen,Neito Monoma “Phantom Thief”,ENTP,,,,8.2,
320,My Hero Academia,Shounen,"Jin Bubaigawara ""Twice""",ENFP,,,,8.2,
321,My Hero Academia,Shounen,Eri,INFP,,,,8.2,
322,My Hero Academia,Shounen,Yuu Uraraka (Uraraka Prototype Design),ISTJ,,,,8.2,
323,My Hero Academia,Shounen,Katsuki Bakugo (Prototype Design),ESFP,,,,8.2,
324,My Hero Academia,Shounen,Hawks,ENTP,,,,8.2,
325,My Hero Academia,Shounen,"Kaina Tsutsumi ""Lady Nagant""",ISTP,,,,8.2,
326,My Hero Academia,Shounen,Yuga Aoyama “Can't Stop Twinkling”,ISFP,,,,8.2,
327,My Hero Academia,Shounen,Rody Soul,ENTP,,,,8.2,
328,My Hero Academia,Shounen,"Rumi Usagiyama ""Mirko""",ESTP,,,,8.2,
329,My Hero Academia,Shounen,Mirio Togata “Lemillion”,ENFJ,,,,8.2,
330,My Hero Academia,Shounen,Nejire Hado “Nejire-chan”,ENFP,,,,8.2,
331,My Hero Academia,Shounen,"Mirai Sasaki ""Sir Nighteye""",ISTJ,,,,8.2,
332,My Hero Academia,Shounen,Yu Takeyama “Mt. Lady”,ESFP,,,,8.2,
333,My Hero Academia,Shounen,Rei Todoroki,INFP,,,,8.2,
334,My Hero Academia,Shounen,Daigoro Banjo “Lariat”,ESTP,,,,8.2,
335,My Hero Academia,Shounen,"Chizome Akaguro ""Stain""",ISFP,,,,8.2,
336,My Hero Academia,Shounen,Hanta Sero “Cellophane”,ESTP,,,,8.2,
337,My Hero Academia,Shounen,Itsuka Kendo “Battle Fist”,ENFJ,,,,8.2,
338,My Hero Academia,Shounen,Fuyumi Todoroki,ESFJ,,,,8.2,
339,My Hero Academia,Shounen,"Nemuri Kayama ""Midnight""",ESTP,,,,8.2,
340,My Hero Academia,Shounen,Fumikage Tokoyami “Tsukuyomi”,ISTJ,,,,8.2,
341,My Hero Academia,Shounen,Tsunagu Hakamata “Best Jeanist”,ENTJ,,,,8.2,
342,My Hero Academia,Shounen,Manami Aiba “La Brava”,INFP,,,,8.2,
343,My Hero Academia,Shounen,Inko Midoriya,ISFJ,,,,8.2,
344,My Hero Academia,Shounen,Saiko Intelli,ENTJ,,,,8.2,
345,My Hero Academia,Shounen,Mawata Fuwa,ENFJ,,,,8.2,
346,My Hero Academia,Shounen,Meryl,ESTJ,,,,8.2,
347,My Hero Academia,Shounen,Kyoka Jiro “Earphone Jack”,ISTP,,,,8.2,
348,My Hero Academia,Shounen,Minoru Mineta “Grape Juice”,ESFP,,,,8.2,
349,My Hero Academia,Shounen,Mitsuki Bakugo,ENTJ,,,,8.2,
350,My Hero Academia,Shounen,Mei Hatsume,ENTP,,,,8.2,
351,My Hero Academia,Shounen,Mina Ashido “Pinky”,ESFP,,,,8.2,
352,My Hero Academia,Shounen,Star and Stripe,ESFP,,,,8.2,
353,My Hero Academia,Shounen,Koji Koda “Anima”,INFP,,,,8.2,
354,My Hero Academia,Shounen,Camie Utsushimi “Maboromicamie”,ENFP,,,,8.2,
355,My Hero Academia,Shounen,"Emi Fukukado ""Ms. Joke""",ENFP,,,,8.2,
356,My Hero Academia,Shounen,Atsuhiro Sako “Mr. Compress”,ENFJ,,,,8.2,
357,My Hero Academia,Shounen,Nana Shimura,ENFJ,,,,8.2,
358,My Hero Academia,Shounen,Goto Imasuji “Muscular”,ESTP,,,,8.2,
359,My Hero Academia,Shounen,Hari Kurono “Chronostasis”,ISTJ,,,,8.2,
360,My Hero Academia,Shounen,Oboro Shirakumo “Loud Cloud”,ENFP,,,,8.2,
361,My Hero Academia,Shounen,Ibara Shiozaki “Vine”,ISTJ,,,,8.2,
362,My Hero Academia,Shounen,"Shuichi Iguchi ""Spinner""",ISFP,,,,8.2,
363,My Hero Academia,Shounen,Danjuro Tobita “Gentle Criminal”,ENFJ,,,,8.2,
364,My Hero Academia,Shounen,Inasa Yoarashi “Gale Force”,ESFJ,,,,8.2,
365,My Hero Academia,Shounen,Rikiya Yotsubashi “Re-Destro”,ENFJ,,,,8.2,
366,My Hero Academia,Shounen,"Akatani Mikumo ""Yamikumo"" (Izuku Protoype Design)",INTP,,,,8.2,
367,My Hero Academia,Shounen,Tetsutetsu Tetsutetsu “Real Steel”,ESFP,,,,8.2,
368,My Hero Academia,Shounen,Nao Shimura,INFP,,,,8.2,
369,My Hero Academia,Shounen,"Hizashi Yamada ""Present Mic""",ESFP,,,,8.2,
370,My Hero Academia,Shounen,"Sorahiko Torino ""Gran Torino""",ISTP,,,,8.2,
371,My Hero Academia,Shounen,Kota Izumi,ISFP,,,,8.2,
372,My Hero Academia,Shounen,Nezu,ENTP,,,,8.2,
373,My Hero Academia,Shounen,Gigantomachia,ISTJ,,,,8.2,
374,My Hero Academia,Shounen,Hana Shimura,ENTP,,,,8.2,
375,My Hero Academia,Shounen,Yoichi Shigaraki,INFP,,,,8.2,
376,My Hero Academia,Shounen,Toru Hagakure “Invisible Girl”,ESFP,,,,8.2,
377,My Hero Academia,Shounen,Tomoyasu Chikazoku “Skeptic”,INTP,,,,8.2,
378,My Hero Academia,Shounen,"Kaoruko Awata ""Bubble Girl""",ISFJ,,,,8.2,
379,My Hero Academia,Shounen,Kyudai Garaki “Daruma Ujiko”,INTP,,,,8.2,
380,My Hero Academia,Shounen,"Chiyo Shuzenji ""Recovery Girl""",ESFJ,,,,8.2,
381,My Hero Academia,Shounen,Rikido Sato “Sugarman”,ISFP,,,,8.2,
382,My Hero Academia,Shounen,Geten,ISTP,,,,8.2,
383,My Hero Academia,Shounen,Jurota Shishida “Gevaudan”,INTP,,,,8.2,
384,My Hero Academia,Shounen,Katsuma Shimano,INFP,,,,8.2,
385,My Hero Academia,Shounen,Hikage Shinomori,INTJ,,,,8.2,
386,My Hero Academia,Shounen,The 2nd user of OFA,INTJ,,,,8.2,
387,My Hero Academia,Shounen,Ectoplasm,ISTP,,,,8.2,
388,My Hero Academia,Shounen,Kazuho Haneyama “Pop☆Step”,ESFP,,,,8.2,
389,My Hero Academia,Shounen,Number 6,ESTP,,,,8.2,
390,My Hero Academia,Shounen,Gunhead,ESFJ,,,,8.2,
391,My Hero Academia,Shounen,Flect Turn,INTJ,,,,8.2,
392,My Hero Academia,Shounen,The 3rd user of OFA,ISTP,,,,8.2,
393,My Hero Academia,Shounen,Ryuko Tatsuma “Ryukyu”,ISFJ,,,,8.2,
394,My Hero Academia,Shounen,Soga Kugizaki,ESTP,,,,8.2,
395,My Hero Academia,Shounen,En,ISTP,,,,8.2,
396,My Hero Academia,Shounen,Mashirao Ojiro “Tailman”,ISFJ,,,,8.2,
397,My Hero Academia,Shounen,Setsuna Tokage “Lizardy”,ESTJ,,,,8.2,
398,My Hero Academia,Shounen,Yo Shindo “Grand”,ENFJ,,,,8.2,
399,My Hero Academia,Shounen,Hiroshi Tameda (“Can't You See?” kid),ESFP,,,,8.2,
400,My Hero Academia,Shounen,Yosetsu Awase “Welder”,ENTJ,,,,8.2,
401,My Hero Academia,Shounen,Kenji Hikiishi “Magne”,ESTP,,,,8.2,
402,My Hero Academia,Shounen,Juzo Honenuki “Mudman”,ISTP,,,,8.2,
403,My Hero Academia,Shounen,Masaru Bakugo,ISFJ,,,,8.2,
404,My Hero Academia,Shounen,Mezo Shoji “Tentacole”,ISFJ,,,,8.2,
405,My Hero Academia,Shounen,Kotaro Shimura,ISTJ,,,,8.2,
406,My Hero Academia,Shounen,Taishiro Toyomitsu “Fat Gum”,ESFP,,,,8.2,
407,My Hero Academia,Shounen,Shihai Kuroiro “Vantablack”,INTJ,,,,8.2,
408,My Hero Academia,Shounen,"Kosei Tsuburaba ""Air Lock""",ENTP,,,,8.2,
409,My Hero Academia,Shounen,Kagero Okuta “Giran”,ESTP,,,,8.2,
410,My Hero Academia,Shounen,"Shinji Nishiya ""Kamui Woods""",INFP,,,,8.2,
411,My Hero Academia,Shounen,Mahoro Shimano,ENTJ,,,,8.2,
412,My Hero Academia,Shounen,Koichi Haimawari “The Crawler”,ENFP,,,,8.2,
413,My Hero Academia,Shounen,David Shield,INFP,,,,8.2,
414,My Hero Academia,Shounen,Taneo Tokuda,ENTP,,,,8.2,
415,My Hero Academia,Shounen,Chikuchi Togeike,INTP,,,,8.2,
416,My Hero Academia,Shounen,"Sekijiro Kan ""Vlad King""",ISTJ,,,,8.2,
417,My Hero Academia,Shounen,Toya Setsuno,ISFP,,,,8.2,
418,My Hero Academia,Shounen,Seiji Shishikura “Sisicross”,ESTJ,,,,8.2,
419,My Hero Academia,Shounen,Swordkil,ESTP,,,,8.2,
420,My Hero Academia,Shounen,Moe Kamiji “Burnin”,ESTP,,,,8.2,
421,My Hero Academia,Shounen,Sen Kaibara “Spiral”,ESTJ,,,,8.2,
422,My Hero Academia,Shounen,Snipe,ISTP,,,,8.2,
423,My Hero Academia,Shounen,Kashiko Sekigai “Sensor Girl”,ISTJ,,,,8.2,
424,My Hero Academia,Shounen,Mika Jiro,INFP,,,,8.2,
425,My Hero Academia,Shounen,"Ken Takagi ""Rock Lock""",ESTJ,,,,8.2,
426,My Hero Academia,Shounen,Yawara Chatora “Tiger”,ESTJ,,,,8.2,
427,My Hero Academia,Shounen,Togaru Kamakiri “Jack Mantis”,ESTP,,,,8.2,
428,My Hero Academia,Shounen,Moonfish,ISTP,,,,8.2,
429,My Hero Academia,Shounen,Yuyu Haya,ISFP,,,,8.2,
430,My Hero Academia,Shounen,Dark Shadow,ESTP,,,,8.2,
431,My Hero Academia,Shounen,Backdraft,INFJ,,,,8.2,
432,My Hero Academia,Shounen,Tomie Takami,INFP,,,,8.2,
433,My Hero Academia,Shounen,"Shinya Kamihara ""Edgeshot""",ISTJ,,,,8.2,
434,My Hero Academia,Shounen,Chitose Kizuki “Curious”,ENTJ,,,,8.2,
435,My Hero Academia,Shounen,Joi Irinaka “Mimic”,ESTJ,,,,8.2,
436,My Hero Academia,Shounen,"Anan Kurose ""Thirteen""",INFJ,,,,8.2,
437,My Hero Academia,Shounen,Wash,ISFP,,,,8.2,
438,My Hero Academia,Shounen,Tensei Iida “Ingenium”,ESFJ,,,,8.2,
439,My Hero Academia,Shounen,"Ken Ishiyama ""Cementoss""",ISFJ,,,,8.2,
440,My Hero Academia,Shounen,Pony Tsunotori “Rocketti”,ENFP,,,,8.2,
441,My Hero Academia,Shounen,Kendo Rappa,ESTP,,,,8.2,
442,My Hero Academia,Shounen,Koku Hanabata “Trumpet”,ENFJ,,,,8.2,
443,My Hero Academia,Shounen,Melissa Shield,ENFP,,,,8.2,
444,My Hero Academia,Shounen,Natsuo Todoroki,ESFP,,,,8.2,
445,My Hero Academia,Shounen,Kinoko Komori “Shemage”,ENFP,,,,8.2,
446,My Hero Academia,Shounen,Reiko Yanagi “Emily”,INTP,,,,8.2,
447,My Hero Academia,Shounen,Nine,INTJ,,,,8.2,
448,My Hero Academia,Shounen,Mustard,INTP,,,,8.2,
449,My Hero Academia,Shounen,Kuin Hachisuka “Queen Bee”,ENTJ,,,,8.2,
450,My Hero Academia,Shounen,Sajin Higawara “Snatch”,ENFJ,,,,8.2,
451,My Hero Academia,Shounen,Native,ESFJ,,,,8.2,
452,My Hero Academia,Shounen,Kyotoku Jiro,ENFP,,,,8.2,
453,My Hero Academia,Shounen,Kurogiri,ISTJ,,,,8.2,
454,My Hero Academia,Shounen,Tomoko Shiretoko “Ragdoll”,ENFP,,,,8.2,
455,My Hero Academia,Shounen,Uwabami,ESFJ,,,,8.2,
456,My Hero Academia,Shounen,Yui Kodai “Rule”,ISTJ,,,,8.2,
457,My Hero Academia,Shounen,Manga Fukidashi “Comicman”,ISFJ,,,,8.2,
458,My Hero Academia,Shounen,Hiryu Rin “Dragon Shroud”,ISTJ,,,,8.2,
459,My Hero Academia,Shounen,Nirengeki Shoda “Mines”,ISFJ,,,,8.2,
460,My Hero Academia,Shounen,Shikkui Makabe “Mr. Smith”,INTP,,,,8.2,
461,My Hero Academia,Shounen,"Kugo Sakamata ""Gang Orca""",ESTJ,,,,8.2,
462,My Hero Academia,Shounen,Chojuro Kon “Chimera”,ISTP,,,,8.2,
463,My Hero Academia,Shounen,Iwao Oguro “Knuckle Duster”,ISTP,,,,8.2,
464,My Hero Academia,Shounen,Naomasa Tsukauchi,ISFJ,,,,8.2,
465,My Hero Academia,Shounen,Makoto Tsukauchi,ESFJ,,,,8.2,
466,My Hero Academia,Shounen,Christopher Skyline “Captain Celebrity”,ESFP,,,,8.2,
467,My Hero Academia,Shounen,Yokumiru Mera,INTP,,,,8.2,
468,My Hero Academia,Shounen,Ryo Inui “Hound Dog”,ISTP,,,,8.2,
469,My Hero Academia,Shounen,Juzo Moashi “Centipeder”,ISTJ,,,,8.2,
470,My Hero Academia,Shounen,Crimson Riot,ESTJ,,,,8.2,
471,My Hero Academia,Shounen,Habuko Mongoose,ISFP,,,,8.2,
472,My Hero Academia,Shounen,Nomu,ESTP,,,,8.2,
473,My Hero Academia,Shounen,Soramitsu Tabe,ISFP,,,,8.2,
474,My Hero Academia,Shounen,Sludge Villain,ENTJ,,,,8.2,
475,My Hero Academia,Shounen,Kenji Tsurugamae,ESTJ,,,,8.2,
476,My Hero Academia,Shounen,Daigo,ISTJ,,,,8.2,
477,My Hero Academia,Shounen,Sensoji “Mister Blaster”,ESFP,,,,8.2,
478,My Hero Academia,Shounen,Pino (Rody’s Soul),ENFP,,,,8.2,
479,My Hero Academia,Shounen,Clair Voyance,ISTJ,,,,8.2,
480,My Hero Academia,Shounen,Odd-Eye,ENTP,,,,8.2,
481,My Hero Academia,Shounen,Masaki Mizushima “Manual”,ISFJ,,,,8.2,
482,My Hero Academia,Shounen,Shin Nemoto,ISTJ,,,,8.2,
483,My Hero Academia,Shounen,Hekiji Tengai,ISTJ,,,,8.2,
484,My Hero Academia,Shounen,Shino Sosaki “Mandalay”,ISFJ,,,,8.2,
485,My Hero Academia,Shounen,Ryuko Tsuchikawa “Pixie Bob”,ESFP,,,,8.2,
486,My Hero Academia,Shounen,Wolfram,ENTJ,,,,8.2,
487,My Hero Academia,Shounen,Kojiro Bondo “Plamo”,INTP,,,,8.2,
488,My Hero Academia,Shounen,Itejiro Toteki “Boomerang Man”,INTP,,,,8.2,
489,My Hero Academia,Shounen,Tatami Nakagame “Turtle Neck”,ENFP,,,,8.2,
490,My Hero Academia,Shounen,Selkie,ENFP,,,,8.2,
491,My Hero Academia,Shounen,Hoyo Makihara “Mummy”,ISTJ,,,,8.2,
492,My Hero Academia,Shounen,Kiruka Hasaki “Slice”,ESTP,,,,8.2,
493,My Hero Academia,Shounen,Ending,ISFP,,,,8.2,
494,My Hero Academia,Shounen,Starservant,INTP,,,,8.2,
495,My Hero Academia,Shounen,Tatsuyuki Tokoname “Slidin' Go”,ESFJ,,,,8.2,
496,My Hero Academia,Shounen,Enigma,ISFP,,,,8.2,
497,My Hero Academia,Shounen,Crust,ESFP,,,,8.2,
498,My Hero Academia,Shounen,Romero Fujimi,ESTP,,,,8.2,
499,My Hero Academia,Shounen,Shoko Haimawari,ESTJ,,,,8.2,
500,My Hero Academia,Shounen,Teruo Hazukashi,ESFP,,,,8.2,
501,My Hero Academia,Shounen,Bibimi Kenranzaki,ESFP,,,,8.2,
502,My Hero Academia,Shounen,Lunch Rush,ESFJ,,,,8.2,
503,My Hero Academia,Shounen,Higari Maijima “Power Loader”,ESTP,,,,8.2,
504,My Hero Academia,Shounen,Rikiya Katsukame,ESTP,,,,8.2,
505,My Hero Academia,Shounen,Yu Hojo,ESTJ,,,,8.2,
506,My Hero Academia,Shounen,Deidoro Sakaki,ESFP,,,,8.2,
507,My Hero Academia,Shounen,Nagamasa Mora “Chewyee”,ISFJ,,,,8.2,
508,My Hero Academia,Shounen,Sirius,ESFJ,,,,8.2,
509,My Hero Academia,Shounen,Death Arms,ISTJ,,,,8.2,
510,My Hero Academia,Shounen,Fourth Kind,ESTJ,,,,8.2,
511,My Hero Academia,Shounen,Nobu,ESTP,,,,8.2,
512,My Hero Academia,Shounen,Tsutsutaka Agoyamato,ESTP,,,,8.2,
513,My Hero Academia,Shounen,Shishido,ISFP,,,,8.2,
514,My Hero Academia,Shounen,X-Less,ISTJ,,,,8.2,
515,My Hero Academia,Shounen,Komari Ikoma,ISFJ,,,,8.2,
516,My Hero Academia,Shounen,Yoroi Musha,ISTJ,,,,8.2,
517,My Hero Academia,Shounen,Enma Kanagi “Majestic”,ISFJ,,,,8.2,
518,My Hero Academia,Shounen,Dadan Tadan “Lucky Strike”,ISFP,,,,8.2,
519,My Hero Academia,Shounen,Cow Lady,ENTP,,,,8.2,
520,My Hero Academia,Shounen,Innsmouth,ESTP,,,,8.2,
521,My Hero Academia,Shounen,Monika “Kaniko” Kaniyashiki,ENTP,,,,8.2,
522,My Hero Academia,Shounen,Rapt Tokage,ESTP,,,,8.2,
523,My Hero Academia,Shounen,Moyuru Tochi,ESFP,,,,8.2,
524,My Hero Academia,Shounen,Cider House Leader,ENTJ,,,,8.2,
525,My Hero Academia,Shounen,Johnny,ISTP,,,,8.2,
526,My Hero Academia,Shounen,Big Red Dot,ISTP,,,,8.2,
527,My Hero Academia,Shounen,Salaam,ISTJ,,,,8.2,
528,My Hero Academia,Shounen,Sansa Tamakawa,ISTJ,,,,8.2,
529,My Hero Academia,Shounen,Serpenters,ENTP,,,,8.2,
530,My Hero Academia,Shounen,Beros,ISTJ,,,,8.2,
531,My Hero Academia,Shounen,Ena,ENTP,,,,8.2,
532,My Hero Academia,Shounen,Dio,ENTP,,,,8.2,
533,My Hero Academia,Shounen,Akira Iwako,ENFJ,,,,8.2,
534,My Hero Academia,Shounen,Mr. Smiley,ENFP,,,,8.2,
535,My Hero Academia,Shounen,Girl of the hospital,ESFJ,,,,8.2,
536,My Hero Academia,Shounen,"Ippanjosei ""Ordinary Woman""",INFP,,,,8.2,
537,My Hero Academia,Shounen,Untenmaru Kurumada,XXXX,,,,8.2,
538,Attack on Titan,Shounen,Eren Yeager,ISFP,,,,9.1,
539,Attack on Titan,Shounen,Levi Ackerman,ISTP,,,,9.1,
540,Attack on Titan,Shounen,Mikasa Ackerman,ISTJ,,,,9.1,
541,Attack on Titan,Shounen,Armin Arlert,INFJ,,,,9.1,
542,Attack on Titan,Shounen,Ymir,ISTP,,,,9.1,
543,Attack on Titan,Shounen,Erwin Smith,ENTJ,,,,9.1,
544,Attack on Titan,Shounen,Floch Forster,ENTJ,,,,9.1,
545,Attack on Titan,Shounen,Zeke Yeager,INTP,,,,9.1,
546,Attack on Titan,Shounen,Hange Zoë,ENTP,,,,9.1,
547,Attack on Titan,Shounen,Historia Reiss (Christa Lenz),ESFJ,,,,9.1,
548,Attack on Titan,Shounen,Jean Kirstein,ESTJ,,,,9.1,
549,Attack on Titan,Shounen,Pieck Finger,INTP,,,,9.1,
550,Attack on Titan,Shounen,Yelena,INTJ,,,,9.1,
551,Attack on Titan,Shounen,Gabi Braun,ESFP,,,,9.1,
552,Attack on Titan,Shounen,Annie Leonhart,ISTP,,,,9.1,
553,Attack on Titan,Shounen,Reiner Braun,ESFJ,,,,9.1,
554,Attack on Titan,Shounen,Sasha Braus,ESFP,,,,9.1,
